state	state_label	state_colors_old	region	old_colors	state_colors
1	Nearctic	orange	Nearctic	"#2D223C"	"#E76254"
2	Neotropical	forestgreen	Neotropical	"#0E2810"	"#1E466E"
3	Antartic	aquamarine	Antartic	"#406543"	"#508CAB"
4	Palearctic	tomato	Palearctic	"#52416B"	"#EC7B4B"
5	Africa	yellow3	Africa	"#6D9067"	"#3E729B"
6	Asia	darkorchid	Asia	"#A6BD94"	"#F6A756"
7	Australasia	palegreen	Australasia	"#284724"	"#2E5B87"
8	India	hotpink1	India	"#CFCBC2"	"#64A8C3"
9	Nearctic + Neotropical	coral	combined	"#AA8AB3"	"#D4E1CB"
10	Nearctic + Antartic	grey90	combined	"#CEB1CE"	"#D4E1CB"
11	Neotropical + Antartic	mediumseagreen	Gondwana	"#C3CFAE"	"#A2D7DE"
12	Nearctic + Palearctic	firebrick2	Laurasia	"#846895"	"#FFD47E"
13	Neotropical + Palearctic	grey65	combined	"#F7E5BA"	"#D4E1CB"
14	Antartic + Palearctic	grey50	combined	"#CEB1CE"	"#D4E1CB"
15	Nearctic + Africa	grey85	combined	"#CEB1CE"	"#D4E1CB"
16	Neotropical + Africa	grey70	Gondwana	"#C3CFAE"	"#A2D7DE"
17	Antartic + Africa	grey45	Gondwana	"#C3CFAE"	"#A2D7DE"
18	Palearctic + Africa	goldenrod2	combined	"#AA8AB3"	"#D4E1CB"
19	Nearctic + Asia	grey80	Laurasia	"#CEB1CE"	"#FFD47E"
20	Neotropical + Asia	darkgreen	combined	"#C3CFAE"	"#D4E1CB"
21	Antartic + Asia	grey40	combined	"#C3CFAE"	"#D4E1CB"
22	Palearctic + Asia	grey25	Laurasia	"#AA8AB3"	"#FFD47E"
23	Africa + Asia	grey10	combined	"#C3CFAE"	"#D4E1CB"
24	Nearctic + Australasia	limegreen	combined	"#CEB1CE"	"#D4E1CB"
25	Neotropical + Australasia	palegreen2	Gondwana	"#CEB1CE"	"#A2D7DE"
26	Antartic + Australasia	grey35	Gondwana	"#C3CFAE"	"#A2D7DE"
27	Palearctic + Australasia	grey20	combined	"#CEB1CE"	"#D4E1CB"
28	Africa + Australasia	red	Gondwana	"#C3CFAE"	"#A2D7DE"
29	Asia + Australasia	navajowhite	combined	"#CEB1CE"	"#D4E1CB"
30	Nearctic + India	grey75	combined	"#CEB1CE"	"#D4E1CB"
31	Neotropical + India	grey55	Gondwana	"#C3CFAE"	"#A2D7DE"
32	Antartic + India	grey30	Gondwana	"#C3CFAE"	"#A2D7DE"
33	Palearctic + India	grey15	combined	"#AA8AB3"	"#D4E1CB"
34	Africa + India	darkred	Gondwana	"#C3CFAE"	"#A2D7DE"
35	Asia + India	khaki	combined	"#C3CFAE"	"#D4E1CB"
36	Australasia + India	khaki3	Gondwana	"#C3CFAE"	"#A2D7DE"
37	...	white	none	white	white